"Alexander Stronach",,,,
"Amanda Harvie",,,,
"Angus Abercrombie Robbie",,,,
"Bruce Mavor Cockie",,,,
"Callum O'Dwyer","Q63929183","2019 European Parliament election in Scotland","Scotland","Labour Party"
"Christopher Gray",,,,
"Colin McKenzie",,,,
"Dan Yeats",,,,
"David Stewart",,,,
"Denis Rixon",,,,
"Donald Munro",,,,
"Douglas Lumsden","Q76364069","2019 United Kingdom general election","Aberdeen South","Conservative Party"
"George Catto",,,,
"George Rettie McIntosh",,,,
"Helen Maud Pitt-Watson",,,,
"Ian Angus",,,,
"Ian Philip",,,,
"Ian Yuill","Q75838897","2019 United Kingdom general election","Aberdeen South","Liberal Democrats"
"Irene Keith",,,,
"James Davidson",,,,
"James Logie Milne",,,,
"James Samuel G. McCullagh",,,,
"Jenny Wilson",,,,
"Jim Towers",,,,
"John Reid",,,,
"John Sleigh",,,,
"Kenneth J.B.S. McLeod",,,,
"Moray Macdonald",,,,
"Norman W. King",,,,
"Olive R. Crutchley",,,,
"Rhonda Reekie",,,,
"Ric Wharton",,,,
"Richard Thomas Pirie",,,,
"Robert Green",,,,
"Robert Middleton",,,,
"Sam Coull",,,,
"Sandra Skinner","Q76509390","2019 United Kingdom general election","Caithness, Sutherland and Easter Ross","Brexit Party"
"Shona Simpson","Q76364296","2019 United Kingdom general election","Aberdeen South","Labour Party"
"Sinclair Shaw",,,,
"Stewart Whyte","Q98644253","2010 United Kingdom general election","Aberdeen North","Scottish Conservatives"
"Susan Ross",,,,
"Vicki Harris",,,,
"William C Smith",,,,
"William Charles Smith",,,,
